mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
ADECCO,2021,Business and Financial Services,CHE,Switzerland,JPN,Japan,1537932060,76981425,30887085,2104,25397876,26088438,1537520694,411366,49785589,86202417,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,KOR,South Korea,62441664,738482,130234,75,324128,101290,62436981,4683,7065830,-563458,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,LUX,Luxembourg,67057171,95978,823178,85,923104,453887,67024657,32514,240767,3432764,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,MYS,Malaysia,22463088,51545,221414,128,330730,69480,19923381,2539707,7439331,-2998364,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,MEX,Mexico,241637492,4355018,4410299,489,2836580,2741003,236393184,5244308,8583427,13457157,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,NLD,Netherlands,420688309,18877533,147281,568,5491633,445640,380676331,40011978,25229405,780741202,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,NZL,New Zealand,50807067,-4685088,207790,91,740380,0,50583560,223507,54483,-2705274,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,NOR,Norway,289764354,-19103578,0,343,2337771,0,289764354,0,33036275,-31216355,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,PER,Peru,91842919,511609,1173127,147,1770425,298379,91833678,9241,1182125,6687404,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,PHL,Philippines,4528339,756688,47726,230,106392,74377,152954,4375385,147123,664078,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,POL,Poland,227293664,4573213,4374753,464,2365112,2526402,225258439,2035225,1732588,20221091,EUR
ADECCO,2021,Business and Financial Services,CHE,Switzerland,PRT,Portugal,125565257,5895824,923235,193,1028147,1601268,122927601,2637656,1925000,16412383,EUR
